channel,shank0-bank0,shank0-bank1,shank0-bank2,shank0-bank3
0,0,384,768,1152
1,1,393,785,1177
2,2,398,794,1174
3,3,407,779,1167
4,4,412,788,1164
5,5,389,773,1157
6,6,394,782,1154
7,7,403,799,1179
8,8,408,776,1176
9,9,385,793,1169
10,10,390,770,1166
11,11,399,787,1159
12,12,404,796,1156
13,13,413,781,1181
14,14,386,790,1178
15,15,395,775,1171
16,16,400,784,1168
17,17,409,769,1161
18,18,414,778,1158
19,19,391,795,1183
20,20,396,772,1180
21,21,405,789,1173
22,22,410,798,1170
23,23,387,783,1163
24,24,392,792,1160
25,25,401,777,1153
26,26,406,786,1182
27,27,415,771,1175
28,28,388,780,1172
29,29,397,797,1165
30,30,402,774,1162
31,31,411,791,1155
32,32,416,800,1184
33,33,425,817,1209
34,34,430,826,1206
35,35,439,811,1199
36,36,444,820,1196
37,37,421,805,1189
38,38,426,814,1186
39,39,435,831,1211
40,40,440,808,1208
41,41,417,825,1201
42,42,422,802,1198
43,43,431,819,1191
44,44,436,828,1188
45,45,445,813,1213
46,46,418,822,1210
47,47,427,807,1203
48,48,432,816,1200
49,49,441,801,1193
50,50,446,810,1190
51,51,423,827,1215
52,52,428,804,1212
53,53,437,821,1205
54,54,442,830,1202
55,55,419,815,1195
56,56,424,824,1192
57,57,433,809,1185
58,58,438,818,1214
59,59,447,803,1207
60,60,420,812,1204
61,61,429,829,1197
62,62,434,806,1194
63,63,443,823,1187
64,64,448,832,1216
65,65,457,849,1241
66,66,462,858,1238
67,67,471,843,1231
68,68,476,852,1228
69,69,453,837,1221
70,70,458,846,1218
71,71,467,863,1243
72,72,472,840,1240
73,73,449,857,1233
74,74,454,834,1230
75,75,463,851,1223
76,76,468,860,1220
77,77,477,845,1245
78,78,450,854,1242
79,79,459,839,1235
80,80,464,848,1232
81,81,473,833,1225
82,82,478,842,1222
83,83,455,859,1247
84,84,460,836,1244
85,85,469,853,1237
86,86,474,862,1234
87,87,451,847,1227
88,88,456,856,1224
89,89,465,841,1217
90,90,470,850,1246
91,91,479,835,1239
92,92,452,844,1236
93,93,461,861,1229
94,94,466,838,1226
95,95,475,855,1219
96,96,480,864,1248
97,97,489,881,1273
98,98,494,890,1270
99,99,503,875,1263
100,100,508,884,1260
101,101,485,869,1253
102,102,490,878,1250
103,103,499,895,1275
104,104,504,872,1272
105,105,481,889,1265
106,106,486,866,1262
107,107,495,883,1255
108,108,500,892,1252
109,109,509,877,1277
110,110,482,886,1274
111,111,491,871,1267
112,112,496,880,1264
113,113,505,865,1257
114,114,510,874,1254
115,115,487,891,1279
116,116,492,868,1276
117,117,501,885,1269
118,118,506,894,1266
119,119,483,879,1259
120,120,488,888,1256
121,121,497,873,1249
122,122,502,882,1278
123,123,511,867,1271
124,124,484,876,1268
125,125,493,893,1261
126,126,498,870,1258
127,127,507,887,1251
128,128,512,896,
129,129,521,913,
130,130,526,922,
131,131,535,907,
132,132,540,916,
133,133,517,901,
134,134,522,910,
135,135,531,927,
136,136,536,904,
137,137,513,921,
138,138,518,898,
139,139,527,915,
140,140,532,924,
141,141,541,909,
142,142,514,918,
143,143,523,903,
144,144,528,912,
145,145,537,897,
146,146,542,906,
147,147,519,923,
148,148,524,900,
149,149,533,917,
150,150,538,926,
151,151,515,911,
152,152,520,920,
153,153,529,905,
154,154,534,914,
155,155,543,899,
156,156,516,908,
157,157,525,925,
158,158,530,902,
159,159,539,919,
160,160,544,928,
161,161,553,945,
162,162,558,954,
163,163,567,939,
164,164,572,948,
165,165,549,933,
166,166,554,942,
167,167,563,959,
168,168,568,936,
169,169,545,953,
170,170,550,930,
171,171,559,947,
172,172,564,956,
173,173,573,941,
174,174,546,950,
175,175,555,935,
176,176,560,944,
177,177,569,929,
178,178,574,938,
179,179,551,955,
180,180,556,932,
181,181,565,949,
182,182,570,958,
183,183,547,943,
184,184,552,952,
185,185,561,937,
186,186,566,946,
187,187,575,931,
188,188,548,940,
189,189,557,957,
190,190,562,934,
191,191,571,951,
192,192,576,960,
193,193,585,977,
194,194,590,986,
195,195,599,971,
196,196,604,980,
197,197,581,965,
198,198,586,974,
199,199,595,991,
200,200,600,968,
201,201,577,985,
202,202,582,962,
203,203,591,979,
204,204,596,988,
205,205,605,973,
206,206,578,982,
207,207,587,967,
208,208,592,976,
209,209,601,961,
210,210,606,970,
211,211,583,987,
212,212,588,964,
213,213,597,981,
214,214,602,990,
215,215,579,975,
216,216,584,984,
217,217,593,969,
218,218,598,978,
219,219,607,963,
220,220,580,972,
221,221,589,989,
222,222,594,966,
223,223,603,983,
224,224,608,992,
225,225,617,1009,
226,226,622,1018,
227,227,631,1003,
228,228,636,1012,
229,229,613,997,
230,230,618,1006,
231,231,627,1023,
232,232,632,1000,
233,233,609,1017,
234,234,614,994,
235,235,623,1011,
236,236,628,1020,
237,237,637,1005,
238,238,610,1014,
239,239,619,999,
240,240,624,1008,
241,241,633,993,
242,242,638,1002,
243,243,615,1019,
244,244,620,996,
245,245,629,1013,
246,246,634,1022,
247,247,611,1007,
248,248,616,1016,
249,249,625,1001,
250,250,630,1010,
251,251,639,995,
252,252,612,1004,
253,253,621,1021,
254,254,626,998,
255,255,635,1015,
256,256,640,1024,
257,257,649,1041,
258,258,654,1050,
259,259,663,1035,
260,260,668,1044,
261,261,645,1029,
262,262,650,1038,
263,263,659,1055,
264,264,664,1032,
265,265,641,1049,
266,266,646,1026,
267,267,655,1043,
268,268,660,1052,
269,269,669,1037,
270,270,642,1046,
271,271,651,1031,
272,272,656,1040,
273,273,665,1025,
274,274,670,1034,
275,275,647,1051,
276,276,652,1028,
277,277,661,1045,
278,278,666,1054,
279,279,643,1039,
280,280,648,1048,
281,281,657,1033,
282,282,662,1042,
283,283,671,1027,
284,284,644,1036,
285,285,653,1053,
286,286,658,1030,
287,287,667,1047,
288,288,672,1056,
289,289,681,1073,
290,290,686,1082,
291,291,695,1067,
292,292,700,1076,
293,293,677,1061,
294,294,682,1070,
295,295,691,1087,
296,296,696,1064,
297,297,673,1081,
298,298,678,1058,
299,299,687,1075,
300,300,692,1084,
301,301,701,1069,
302,302,674,1078,
303,303,683,1063,
304,304,688,1072,
305,305,697,1057,
306,306,702,1066,
307,307,679,1083,
308,308,684,1060,
309,309,693,1077,
310,310,698,1086,
311,311,675,1071,
312,312,680,1080,
313,313,689,1065,
314,314,694,1074,
315,315,703,1059,
316,316,676,1068,
317,317,685,1085,
318,318,690,1062,
319,319,699,1079,
320,320,704,1088,
321,321,713,1105,
322,322,718,1114,
323,323,727,1099,
324,324,732,1108,
325,325,709,1093,
326,326,714,1102,
327,327,723,1119,
328,328,728,1096,
329,329,705,1113,
330,330,710,1090,
331,331,719,1107,
332,332,724,1116,
333,333,733,1101,
334,334,706,1110,
335,335,715,1095,
336,336,720,1104,
337,337,729,1089,
338,338,734,1098,
339,339,711,1115,
340,340,716,1092,
341,341,725,1109,
342,342,730,1118,
343,343,707,1103,
344,344,712,1112,
345,345,721,1097,
346,346,726,1106,
347,347,735,1091,
348,348,708,1100,
349,349,717,1117,
350,350,722,1094,
351,351,731,1111,
352,352,736,1120,
353,353,745,1137,
354,354,750,1146,
355,355,759,1131,
356,356,764,1140,
357,357,741,1125,
358,358,746,1134,
359,359,755,1151,
360,360,760,1128,
361,361,737,1145,
362,362,742,1122,
363,363,751,1139,
364,364,756,1148,
365,365,765,1133,
366,366,738,1142,
367,367,747,1127,
368,368,752,1136,
369,369,761,1121,
370,370,766,1130,
371,371,743,1147,
372,372,748,1124,
373,373,757,1141,
374,374,762,1150,
375,375,739,1135,
376,376,744,1144,
377,377,753,1129,
378,378,758,1138,
379,379,767,1123,
380,380,740,1132,
381,381,749,1149,
382,382,754,1126,
383,383,763,1143,
