channel,shank0-bank0,shank0-bank1,shank0-bank2
0,0,384,768
1,1,385,769
2,2,386,770
3,3,387,771
4,4,388,772
5,5,389,773
6,6,390,774
7,7,391,775
8,8,392,776
9,9,393,777
10,10,394,778
11,11,395,779
12,12,396,780
13,13,397,781
14,14,398,782
15,15,399,783
16,16,400,784
17,17,401,785
18,18,402,786
19,19,403,787
20,20,404,788
21,21,405,789
22,22,406,790
23,23,407,791
24,24,408,792
25,25,409,793
26,26,410,794
27,27,411,795
28,28,412,796
29,29,413,797
30,30,414,798
31,31,415,799
32,32,416,800
33,33,417,801
34,34,418,802
35,35,419,803
36,36,420,804
37,37,421,805
38,38,422,806
39,39,423,807
40,40,424,808
41,41,425,809
42,42,426,810
43,43,427,811
44,44,428,812
45,45,429,813
46,46,430,814
47,47,431,815
48,48,432,816
49,49,433,817
50,50,434,818
51,51,435,819
52,52,436,820
53,53,437,821
54,54,438,822
55,55,439,823
56,56,440,824
57,57,441,825
58,58,442,826
59,59,443,827
60,60,444,828
61,61,445,829
62,62,446,830
63,63,447,831
64,64,448,832
65,65,449,833
66,66,450,834
67,67,451,835
68,68,452,836
69,69,453,837
70,70,454,838
71,71,455,839
72,72,456,840
73,73,457,841
74,74,458,842
75,75,459,843
76,76,460,844
77,77,461,845
78,78,462,846
79,79,463,847
80,80,464,848
81,81,465,849
82,82,466,850
83,83,467,851
84,84,468,852
85,85,469,853
86,86,470,854
87,87,471,855
88,88,472,856
89,89,473,857
90,90,474,858
91,91,475,859
92,92,476,860
93,93,477,861
94,94,478,862
95,95,479,863
96,96,480,864
97,97,481,865
98,98,482,866
99,99,483,867
100,100,484,868
101,101,485,869
102,102,486,870
103,103,487,871
104,104,488,872
105,105,489,873
106,106,490,874
107,107,491,875
108,108,492,876
109,109,493,877
110,110,494,878
111,111,495,879
112,112,496,880
113,113,497,881
114,114,498,882
115,115,499,883
116,116,500,884
117,117,501,885
118,118,502,886
119,119,503,887
120,120,504,888
121,121,505,889
122,122,506,890
123,123,507,891
124,124,508,892
125,125,509,893
126,126,510,894
127,127,511,895
128,128,512,896
129,129,513,897
130,130,514,898
131,131,515,899
132,132,516,900
133,133,517,901
134,134,518,902
135,135,519,903
136,136,520,904
137,137,521,905
