shank,electrode,x,y
0,0,0,0
0,1,32,0
0,2,0,15
0,3,32,15
0,4,0,30
0,5,32,30
0,6,0,45
0,7,32,45
0,8,0,60
0,9,32,60
0,10,0,75
0,11,32,75
0,12,0,90
0,13,32,90
0,14,0,105
0,15,32,105
0,16,0,120
0,17,32,120
0,18,0,135
0,19,32,135
0,20,0,150
0,21,32,150
0,22,0,165
0,23,32,165
0,24,0,180
0,25,32,180
0,26,0,195
0,27,32,195
0,28,0,210
0,29,32,210
0,30,0,225
0,31,32,225
0,32,0,240
0,33,32,240
0,34,0,255
0,35,32,255
0,36,0,270
0,37,32,270
0,38,0,285
0,39,32,285
0,40,0,300
0,41,32,300
0,42,0,315
0,43,32,315
0,44,0,330
0,45,32,330
0,46,0,345
0,47,32,345
0,48,0,360
0,49,32,360
0,50,0,375
0,51,32,375
0,52,0,390
0,53,32,390
0,54,0,405
0,55,32,405
0,56,0,420
0,57,32,420
0,58,0,435
0,59,32,435
0,60,0,450
0,61,32,450
0,62,0,465
0,63,32,465
0,64,0,480
0,65,32,480
0,66,0,495
0,67,32,495
0,68,0,510
0,69,32,510
0,70,0,525
0,71,32,525
0,72,0,540
0,73,32,540
0,74,0,555
0,75,32,555
0,76,0,570
0,77,32,570
0,78,0,585
0,79,32,585
0,80,0,600
0,81,32,600
0,82,0,615
0,83,32,615
0,84,0,630
0,85,32,630
0,86,0,645
0,87,32,645
0,88,0,660
0,89,32,660
0,90,0,675
0,91,32,675
0,92,0,690
0,93,32,690
0,94,0,705
0,95,32,705
0,96,0,720
0,97,32,720
0,98,0,735
0,99,32,735
0,100,0,750
0,101,32,750
0,102,0,765
0,103,32,765
0,104,0,780
0,105,32,780
0,106,0,795
0,107,32,795
0,108,0,810
0,109,32,810
0,110,0,825
0,111,32,825
0,112,0,840
0,113,32,840
0,114,0,855
0,115,32,855
0,116,0,870
0,117,32,870
0,118,0,885
0,119,32,885
0,120,0,900
0,121,32,900
0,122,0,915
0,123,32,915
0,124,0,930
0,125,32,930
0,126,0,945
0,127,32,945
0,128,0,960
0,129,32,960
0,130,0,975
0,131,32,975
0,132,0,990
0,133,32,990
0,134,0,1005
0,135,32,1005
0,136,0,1020
0,137,32,1020
0,138,0,1035
0,139,32,1035
0,140,0,1050
0,141,32,1050
0,142,0,1065
0,143,32,1065
0,144,0,1080
0,145,32,1080
0,146,0,1095
0,147,32,1095
0,148,0,1110
0,149,32,1110
0,150,0,1125
0,151,32,1125
0,152,0,1140
0,153,32,1140
0,154,0,1155
0,155,32,1155
0,156,0,1170
0,157,32,1170
0,158,0,1185
0,159,32,1185
0,160,0,1200
0,161,32,1200
0,162,0,1215
0,163,32,1215
0,164,0,1230
0,165,32,1230
0,166,0,1245
0,167,32,1245
0,168,0,1260
0,169,32,1260
0,170,0,1275
0,171,32,1275
0,172,0,1290
0,173,32,1290
0,174,0,1305
0,175,32,1305
0,176,0,1320
0,177,32,1320
0,178,0,1335
0,179,32,1335
0,180,0,1350
0,181,32,1350
0,182,0,1365
0,183,32,1365
0,184,0,1380
0,185,32,1380
0,186,0,1395
0,187,32,1395
0,188,0,1410
0,189,32,1410
0,190,0,1425
0,191,32,1425
0,192,0,1440
0,193,32,1440
0,194,0,1455
0,195,32,1455
0,196,0,1470
0,197,32,1470
0,198,0,1485
0,199,32,1485
0,200,0,1500
0,201,32,1500
0,202,0,1515
0,203,32,1515
0,204,0,1530
0,205,32,1530
0,206,0,1545
0,207,32,1545
0,208,0,1560
0,209,32,1560
0,210,0,1575
0,211,32,1575
0,212,0,1590
0,213,32,1590
0,214,0,1605
0,215,32,1605
0,216,0,1620
0,217,32,1620
0,218,0,1635
0,219,32,1635
0,220,0,1650
0,221,32,1650
0,222,0,1665
0,223,32,1665
0,224,0,1680
0,225,32,1680
0,226,0,1695
0,227,32,1695
0,228,0,1710
0,229,32,1710
0,230,0,1725
0,231,32,1725
0,232,0,1740
0,233,32,1740
0,234,0,1755
0,235,32,1755
0,236,0,1770
0,237,32,1770
0,238,0,1785
0,239,32,1785
0,240,0,1800
0,241,32,1800
0,242,0,1815
0,243,32,1815
0,244,0,1830
0,245,32,1830
0,246,0,1845
0,247,32,1845
0,248,0,1860
0,249,32,1860
0,250,0,1875
0,251,32,1875
0,252,0,1890
0,253,32,1890
0,254,0,1905
0,255,32,1905
0,256,0,1920
0,257,32,1920
0,258,0,1935
0,259,32,1935
0,260,0,1950
0,261,32,1950
0,262,0,1965
0,263,32,1965
0,264,0,1980
0,265,32,1980
0,266,0,1995
0,267,32,1995
0,268,0,2010
0,269,32,2010
0,270,0,2025
0,271,32,2025
0,272,0,2040
0,273,32,2040
0,274,0,2055
0,275,32,2055
0,276,0,2070
0,277,32,2070
0,278,0,2085
0,279,32,2085
0,280,0,2100
0,281,32,2100
0,282,0,2115
0,283,32,2115
0,284,0,2130
0,285,32,2130
0,286,0,2145
0,287,32,2145
0,288,0,2160
0,289,32,2160
0,290,0,2175
0,291,32,2175
0,292,0,2190
0,293,32,2190
0,294,0,2205
0,295,32,2205
0,296,0,2220
0,297,32,2220
0,298,0,2235
0,299,32,2235
0,300,0,2250
0,301,32,2250
0,302,0,2265
0,303,32,2265
0,304,0,2280
0,305,32,2280
0,306,0,2295
0,307,32,2295
0,308,0,2310
0,309,32,2310
0,310,0,2325
0,311,32,2325
0,312,0,2340
0,313,32,2340
0,314,0,2355
0,315,32,2355
0,316,0,2370
0,317,32,2370
0,318,0,2385
0,319,32,2385
0,320,0,2400
0,321,32,2400
0,322,0,2415
0,323,32,2415
0,324,0,2430
0,325,32,2430
0,326,0,2445
0,327,32,2445
0,328,0,2460
0,329,32,2460
0,330,0,2475
0,331,32,2475
0,332,0,2490
0,333,32,2490
0,334,0,2505
0,335,32,2505
0,336,0,2520
0,337,32,2520
0,338,0,2535
0,339,32,2535
0,340,0,2550
0,341,32,2550
0,342,0,2565
0,343,32,2565
0,344,0,2580
0,345,32,2580
0,346,0,2595
0,347,32,2595
0,348,0,2610
0,349,32,2610
0,350,0,2625
0,351,32,2625
0,352,0,2640
0,353,32,2640
0,354,0,2655
0,355,32,2655
0,356,0,2670
0,357,32,2670
0,358,0,2685
0,359,32,2685
0,360,0,2700
0,361,32,2700
0,362,0,2715
0,363,32,2715
0,364,0,2730
0,365,32,2730
0,366,0,2745
0,367,32,2745
0,368,0,2760
0,369,32,2760
0,370,0,2775
0,371,32,2775
0,372,0,2790
0,373,32,2790
0,374,0,2805
0,375,32,2805
0,376,0,2820
0,377,32,2820
0,378,0,2835
0,379,32,2835
0,380,0,2850
0,381,32,2850
0,382,0,2865
0,383,32,2865
0,384,0,2880
0,385,32,2880
0,386,0,2895
0,387,32,2895
0,388,0,2910
0,389,32,2910
0,390,0,2925
0,391,32,2925
0,392,0,2940
0,393,32,2940
0,394,0,2955
0,395,32,2955
0,396,0,2970
0,397,32,2970
0,398,0,2985
0,399,32,2985
0,400,0,3000
0,401,32,3000
0,402,0,3015
0,403,32,3015
0,404,0,3030
0,405,32,3030
0,406,0,3045
0,407,32,3045
0,408,0,3060
0,409,32,3060
0,410,0,3075
0,411,32,3075
0,412,0,3090
0,413,32,3090
0,414,0,3105
0,415,32,3105
0,416,0,3120
0,417,32,3120
0,418,0,3135
0,419,32,3135
0,420,0,3150
0,421,32,3150
0,422,0,3165
0,423,32,3165
0,424,0,3180
0,425,32,3180
0,426,0,3195
0,427,32,3195
0,428,0,3210
0,429,32,3210
0,430,0,3225
0,431,32,3225
0,432,0,3240
0,433,32,3240
0,434,0,3255
0,435,32,3255
0,436,0,3270
0,437,32,3270
0,438,0,3285
0,439,32,3285
0,440,0,3300
0,441,32,3300
0,442,0,3315
0,443,32,3315
0,444,0,3330
0,445,32,3330
0,446,0,3345
0,447,32,3345
0,448,0,3360
0,449,32,3360
0,450,0,3375
0,451,32,3375
0,452,0,3390
0,453,32,3390
0,454,0,3405
0,455,32,3405
0,456,0,3420
0,457,32,3420
0,458,0,3435
0,459,32,3435
0,460,0,3450
0,461,32,3450
0,462,0,3465
0,463,32,3465
0,464,0,3480
0,465,32,3480
0,466,0,3495
0,467,32,3495
0,468,0,3510
0,469,32,3510
0,470,0,3525
0,471,32,3525
0,472,0,3540
0,473,32,3540
0,474,0,3555
0,475,32,3555
0,476,0,3570
0,477,32,3570
0,478,0,3585
0,479,32,3585
0,480,0,3600
0,481,32,3600
0,482,0,3615
0,483,32,3615
0,484,0,3630
0,485,32,3630
0,486,0,3645
0,487,32,3645
0,488,0,3660
0,489,32,3660
0,490,0,3675
0,491,32,3675
0,492,0,3690
0,493,32,3690
0,494,0,3705
0,495,32,3705
0,496,0,3720
0,497,32,3720
0,498,0,3735
0,499,32,3735
0,500,0,3750
0,501,32,3750
0,502,0,3765
0,503,32,3765
0,504,0,3780
0,505,32,3780
0,506,0,3795
0,507,32,3795
0,508,0,3810
0,509,32,3810
0,510,0,3825
0,511,32,3825
0,512,0,3840
0,513,32,3840
0,514,0,3855
0,515,32,3855
0,516,0,3870
0,517,32,3870
0,518,0,3885
0,519,32,3885
0,520,0,3900
0,521,32,3900
0,522,0,3915
0,523,32,3915
0,524,0,3930
0,525,32,3930
0,526,0,3945
0,527,32,3945
0,528,0,3960
0,529,32,3960
0,530,0,3975
0,531,32,3975
0,532,0,3990
0,533,32,3990
0,534,0,4005
0,535,32,4005
0,536,0,4020
0,537,32,4020
0,538,0,4035
0,539,32,4035
0,540,0,4050
0,541,32,4050
0,542,0,4065
0,543,32,4065
0,544,0,4080
0,545,32,4080
0,546,0,4095
0,547,32,4095
0,548,0,4110
0,549,32,4110
0,550,0,4125
0,551,32,4125
0,552,0,4140
0,553,32,4140
0,554,0,4155
0,555,32,4155
